2013-11-27 01:33:42,271 [DEBUG] django.db.backends: (0.025) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:33:42.227044 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:33:42.227044')
2013-12-18 23:11:59,793 [DEBUG] django.db.backends: (0.001) UPDATE "article_article" SET "title" = HAHAHA, "body" = ahahahh, "pub_date" = 2001-12-27 08:00:00, "likes" = 0, "thumbnail" =  WHERE "article_article"."id" = 5 ; args=('HAHAHA', u'ahahahh', u'2001-12-27 08:00:00', 0, u'', 5)
2013-12-18 23:12:29,982 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" ORDER BY "article_article"."title" ASC LIMIT 21; args=()
2013-12-18 23:12:37,837 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" ORDER BY "article_article"."likes" ASC LIMIT 21; args=()
2013-12-18 23:12:50,613 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" ORDER BY "article_article"."likes" ASC LIMIT 21; args=()
2013-12-18 23:13:25,517 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE Will% ESCAPE '\'  LIMIT 21; args=(u'Will%',)
2013-12-18 23:13:51,828 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."likes" > 1  LIMIT 21; args=(1,)
2013-12-18 23:14:06,443 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."likes" > 1  LIMIT 21; args=(1,)
2013-12-18 23:14:09,323 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."likes" > 1  LIMIT 1; args=(1,)
2013-12-18 23:14:12,227 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."likes" > 1  LIMIT 1 OFFSET 1; args=(1,)
2013-12-18 23:14:41,874 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."likes" IN (1, 2, 3) LIMIT 21; args=(1, 2, 3)
2013-12-18 23:14:48,978 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."likes" IN (1, 2, 3) LIMIT 1; args=(1, 2, 3)
2013-12-18 23:14:55,210 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."likes" IN (1, 2, 3) LIMIT 1 OFFSET 1; args=(1, 2, 3)
2013-12-23 21:35:48,001 [DEBUG] django.db.backends: (0.002) SELECT COUNT(*) FROM "article_article"; args=()
2013-12-23 21:35:48,015 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article"; args=()
2013-12-23 21:37:05,275 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 6 ; args=(6,)
2013-12-23 21:37:05,284 [DEBUG] django.db.backends: (0.004) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 6 ; args=(6,)
2013-12-23 21:37:20,460 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 5 ; args=(5,)
2013-12-23 21:37:20,464 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 5 ; args=(5,)
2013-12-23 21:37:22,572 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 21:37:22,577 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 21:39:30,233 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 9 ; args=(9,)
2013-12-23 21:39:30,238 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 9 ; args=(9,)
2013-12-23 22:01:44,624 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 1 ; args=(1,)
2013-12-23 22:01:44,633 [DEBUG] django.db.backends: (0.004) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 1 ; args=(1,)
2013-12-23 22:01:47,458 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 2 ; args=(2,)
2013-12-23 22:01:47,463 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 2 ; args=(2,)
2013-12-23 22:01:49,941 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 3 ; args=(3,)
2013-12-23 22:01:49,946 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 3 ; args=(3,)
2013-12-23 22:01:54,304 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 6 ; args=(6,)
2013-12-23 22:01:54,309 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 6 ; args=(6,)
2013-12-23 22:21:05,965 [DEBUG] django.db.backends: (0.017) SELECT COUNT(*) FROM "article_article"; args=()
2013-12-23 22:21:05,979 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article"; args=()
2013-12-23 22:21:07,409 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 1 ; args=(1,)
2013-12-23 22:21:07,431 [DEBUG] django.db.backends: (0.016) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 1 ; args=(1,)
2013-12-23 22:22:21,404 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 6 ; args=(6,)
2013-12-23 22:22:21,408 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 6 ; args=(6,)
2013-12-23 22:22:24,861 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:22:24,866 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:22:27,179 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 9 ; args=(9,)
2013-12-23 22:22:27,184 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 9 ; args=(9,)
2013-12-23 22:22:50,377 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:22:50,383 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:43:33,351 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:43:33,419 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:43:48,193 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:43:48,261 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:43:57,138 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:43:57,145 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:44:01,775 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:44:01,782 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:44:02,594 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:44:02,598 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:44:15,956 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:44:15,961 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:44:29,663 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article"; args=()
2013-12-23 22:44:29,664 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article"; args=()
2013-12-23 22:44:31,716 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 9 ; args=(9,)
2013-12-23 22:44:31,720 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 9 ; args=(9,)
2013-12-23 22:44:45,197 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:44:45,202 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:45:22,557 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:45:22,579 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:45:41,304 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:45:41,311 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:45:42,591 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:45:42,595 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:47:21,228 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article"; args=()
2013-12-23 22:47:21,238 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article"; args=()
2013-12-23 22:47:26,813 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article"; args=()
2013-12-23 22:47:26,814 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article"; args=()
2013-12-23 22:47:31,139 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %% ESCAPE '\' ; args=(u'%%',)
2013-12-23 22:47:31,140 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %% ESCAPE '\' ; args=(u'%%',)
2013-12-23 22:47:42,176 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %wh% ESCAPE '\' ; args=(u'%wh%',)
2013-12-23 22:47:42,183 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %wh% ESCAPE '\' ; args=(u'%wh%',)
2013-12-23 22:47:42,570 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %wha% ESCAPE '\' ; args=(u'%wha%',)
2013-12-23 22:47:42,713 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %what% ESCAPE '\' ; args=(u'%what%',)
2013-12-23 22:47:43,729 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %what\\% ESCAPE '\' ; args=(u'%what\\\\%',)
2013-12-23 22:47:44,521 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %% ESCAPE '\' ; args=(u'%%',)
2013-12-23 22:47:44,522 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %% ESCAPE '\' ; args=(u'%%',)
2013-12-23 22:47:44,657 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %bl% ESCAPE '\' ; args=(u'%bl%',)
2013-12-23 22:47:44,753 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %bl% ESCAPE '\' ; args=(u'%bl%',)
2013-12-23 22:47:44,929 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %bla% ESCAPE '\' ; args=(u'%bla%',)
2013-12-23 22:47:45,160 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %blah% ESCAPE '\' ; args=(u'%blah%',)
2013-12-23 22:47:45,353 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %bla% ESCAPE '\' ; args=(u'%bla%',)
2013-12-23 22:47:45,505 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %bl% ESCAPE '\' ; args=(u'%bl%',)
2013-12-23 22:47:45,641 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %b% ESCAPE '\' ; args=(u'%b%',)
2013-12-23 22:47:45,641 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %b% ESCAPE '\' ; args=(u'%b%',)
2013-12-23 22:47:45,785 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %% ESCAPE '\' ; args=(u'%%',)
2013-12-23 22:47:45,786 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %% ESCAPE '\' ; args=(u'%%',)
2013-12-23 22:47:46,055 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %W% ESCAPE '\' ; args=(u'%W%',)
2013-12-23 22:47:46,055 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %W% ESCAPE '\' ; args=(u'%W%',)
2013-12-23 22:47:46,080 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %W% ESCAPE '\' ; args=(u'%W%',)
2013-12-23 22:47:46,081 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %W% ESCAPE '\' ; args=(u'%W%',)
2013-12-23 22:47:46,713 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %We% ESCAPE '\' ; args=(u'%We%',)
2013-12-23 22:47:47,328 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %W% ESCAPE '\' ; args=(u'%W%',)
2013-12-23 22:47:47,329 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %W% ESCAPE '\' ; args=(u'%W%',)
2013-12-23 22:47:47,850 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %Wi% ESCAPE '\' ; args=(u'%Wi%',)
2013-12-23 22:47:47,850 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %Wi% ESCAPE '\' ; args=(u'%Wi%',)
2013-12-23 22:47:48,146 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %Wil% ESCAPE '\' ; args=(u'%Wil%',)
2013-12-23 22:47:48,146 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %Wil% ESCAPE '\' ; args=(u'%Wil%',)
2013-12-23 22:47:48,320 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %Will% ESCAPE '\' ; args=(u'%Will%',)
2013-12-23 22:47:48,321 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %Will% ESCAPE '\' ; args=(u'%Will%',)
2013-12-23 22:47:48,848 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %Will % ESCAPE '\' ; args=(u'%Will %',)
2013-12-23 22:47:48,849 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %Will % ESCAPE '\' ; args=(u'%Will %',)
2013-12-23 22:47:49,073 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %Will i% ESCAPE '\' ; args=(u'%Will i%',)
2013-12-23 22:47:49,074 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %Will i% ESCAPE '\' ; args=(u'%Will i%',)
2013-12-23 22:47:49,208 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %Will it% ESCAPE '\' ; args=(u'%Will it%',)
2013-12-23 22:47:49,208 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %Will it% ESCAPE '\' ; args=(u'%Will it%',)
2013-12-23 22:47:50,199 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "article_article" WHERE "article_article"."title" LIKE %% ESCAPE '\' ; args=(u'%%',)
2013-12-23 22:47:50,200 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."title" LIKE %% ESCAPE '\' ; args=(u'%%',)
2013-12-23 22:47:52,811 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 9 ; args=(9,)
2013-12-23 22:47:52,816 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 9 ; args=(9,)
2013-12-23 22:48:03,779 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
2013-12-23 22:48:03,784 [DEBUG] django.db.backends: (0.000) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 8 ; args=(8,)
2013-12-23 22:49:15,671 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 8 ; args=(8,)
